Type_of_surgery,OperationDesc,OperationType
199,"עמ""ש 024(מבוגרים)",51
48,"עמ""ש 003(מבוגרים)",49
16,פרוקטו רקטום+פי הטבעת 04,E5
181,גפה תחתונה 06(מבוגרים),30
121,גפה עליונה 06(ילדים),3
121,שונות 03(מבוגרים),53
158,פרוקטו רקטום+פי הטבעת 06,E6
7,פרוקטו רקטום+פי הטבעת 03,E4
42,קיבה 05 ()LAP,2
327,שד 06,64
20,כיס מרה 08 ()LAP,A0
26,הרניה 06,33
184,גפה תחתונה 09(מבוגרים),31
76,פרוקטו רקטום+פי הטבעת 04,E5
187,גפה עליונה 09(מבוגרים),26
76,פרוקטו רקטום+פי הטבעת 04,E5
121,גפה עליונה 06(ילדים),3
372,גפיים 03(מבוגרים),35
124,בלוטות לימפה 07,73
7,פרוקטו רקטום+פי הטבעת 03,E4
76,פרוקטו רקטום+פי הטבעת 03,E4
7,פרוקטו רקטום+פי הטבעת 03,E4
7,פרוקטו רקטום+פי הטבעת 03,E4
20,כיס מרה 08 ()LAP,A0
20,כיס מרה 08 ()LAP,A0
42,קיבה 05 ()LAP,2
76,פרוקטו רקטום+פי הטבעת 04,E5
213,אחר 03,C2
20,כיס מרה 08 ()LAP,A0
42,קיבה 05 ()LAP,2
121,גפה עליונה 06(ילדים),3
283,גפה עליונה 09(מבוגרים),26
53,כבד 022,A6
292,גפה תחתונה 06(מבוגרים),30
20,כיס מרה 08 ()LAP,A0
161,אחר 05,C3
42,קיבה 05 ()LAP,2
293,גפה תחתונה 09(מבוגרים),31
181,גפה תחתונה 06(מבוגרים),30
120,גפה תחתונה 09(מבוגרים),31
383,גפה תחתונה 54(מבוגרים),29
120,גפה תחתונה 09(מבוגרים),31
121,גפה עליונה 06(ילדים),3
180,שונות 06(ילדים),19
184,גפה תחתונה 09(ילדים),10
214,גפה תחתונה 06(מבוגרים),30
184,גפה תחתונה 081(ילדים),12
42,קיבה 05 ()LAP,2
76,פרוקטו רקטום+פי הטבעת 04,E5
214,שונות 03(מבוגרים),53
184,גפה תחתונה 06(ילדים),9
250,גפה תחתונה 021(ילדים),11
184,גפה תחתונה 042(ילדים),13
198,גפה תחתונה 06(ילדים),9
42,קיבה 05 ()LAP,2
121,גפה עליונה 06(ילדים),3
184,גפה תחתונה 09(מבוגרים),31
245,ניתוח פה ולסת,1
288,גפה עליונה 06(מבוגרים),25
42,קיבה 05 ()LAP,2
20,כיס מרה 08 ()LAP,A0
16,פרוקטו רקטום+פי הטבעת 04,E5
212,אחר,4
187,גפה עליונה 09(מבוגרים),26
171,שחלה,4
7,פרוקטו רקטום+פי הטבעת 03,E4
121,גפה עליונה 06(ילדים),3
7,פרוקטו רקטום+פי הטבעת 03,E4
187,גפה עליונה 09(מבוגרים),26
26,הרניה 06,33
76,פרוקטו רקטום+פי הטבעת 03,E4
43,שנטים/ניקוזים 051,3
43,שנטים/ניקוזים 051,3
252,גפה עליונה 06(ילדים),3
20,כיס מרה 08 ()LAP,A0
141,אחר 011,D5
326,שד 001,68
53,כבד 022,A6
42,קיבה 08 ()LAP,5
23,קיבה 061,28
121,גפה עליונה 02(מבוגרים),22
66,הסרת נגע,11
327,שד 06,64
327,שד 06,64
66,אחר 51,C3
20,כיס מרה 08 ()LAP,A0
13,החלפת מפרקים 021(מבוגרים),40
120,גפה תחתונה 09(מבוגרים),31
46,"עמ""ש 024(מבוגרים)",51
7,פרוקטו רקטום+פי הטבעת 03,E4
32,הרניה 06,33
245,ניתוח פה ולסת,1
10,החלפת מפרקים 081(מבוגרים),42
20,כיס מרה 08 ()LAP,A0
32,הרניה 06,33
199,גפה תחתונה 09(מבוגרים),31
120,גפה תחתונה 06(מבוגרים),30
26,הרניה 07 ()LAP,36
42,קיבה 05 ()LAP,2
121,גפה עליונה 06(ילדים),3
68,ניתוח פה ולסת,1
42,קיבה 05 ()LAP,2
327,שד 06,64
66,אחר 51,C3
42,קיבה 05 ()LAP,2
199,"עמ""ש 024(מבוגרים)",51
7,פרוקטו רקטום+פי הטבעת 03,E4
7,פרוקטו רקטום+פי הטבעת 03,E4
121,כף יד,3
120,גפה תחתונה 09(מבוגרים),31
42,קיבה 05 ()LAP,2
199,גפה עליונה 54(מבוגרים),24
7,פרוקטו רקטום+פי הטבעת 03,E4
199,גפה תחתונה 09(מבוגרים),31
42,קיבה 05 ()LAP,2
42,קיבה 05 ()LAP,2
42,קיבה 05 ()LAP,2
76,מעי דק 011 ()LAP,61
120,גפה תחתונה 06(מבוגרים),30
196,הרניה 06,33
42,קיבה 05 ()LAP,2
20,כיס מרה 08 ()LAP,A0
186,פרוקטו מעי גס 051,F5
66,אחר 51,C3
186,מעי גס 041 ()LAP,49
20,כיס מרה 08 ()LAP,A0
121,גפה עליונה 02(מבוגרים),22
39,קטרקט א.יום,35
23,קיבה 061,28
186,מעי גס 041 ()LAP,49
36,פעולות צנטוריות 06,8
186,מעי גס 041 ()LAP,49
158,מעי גס 051,50
100,בטן 06 ()LAP,B8
46,"עמ""ש 024(מבוגרים)",51
39,קטרקט א.יום,35
186,מעי גס 041 ()LAP,49
32,הרניה 06,33
120,גפה תחתונה 09(מבוגרים),31
120,גפה תחתונה 09(מבוגרים),31
39,רשתית א.יום,41
100,בטן 07,B9
161,בטן 05,B5
141,אחר 011,D5
182,גפה עליונה 09(מבוגרים),26
120,גפה תחתונה 09(מבוגרים),31
180,גפיים 04(מבוגרים),36
182,גפה עליונה 09(מבוגרים),26
20,כיס מרה 08 ()LAP,A0
120,גפה תחתונה 09(מבוגרים),31
66,אחר 51,C3
239,מעי גס 041 ()LAP,49
186,מעי גס 012,54
46,"עמ""ש 024(מבוגרים)",51
292,גפה תחתונה 06(מבוגרים),30
46,"עמ""ש 024(מבוגרים)",51
186,מעי גס 041 ()LAP,49
23,קיבה 081,30
186,מעי גס 061 ()LAP,52
120,גפה תחתונה 09(מבוגרים),31
32,הרניה 06,33
372,גפיים 03(מבוגרים),35
181,גפה תחתונה 081(מבוגרים),33
7,פרוקטו רקטום+פי הטבעת 03,E4
187,גפה עליונה 06(מבוגרים),25
181,גפה תחתונה 06(מבוגרים),30
121,כף יד,3
121,גפה עליונה 06(ילדים),3
26,הרניה 06,33
181,גפה תחתונה 081(מבוגרים),33
121,גפה עליונה 03(מבוגרים),23
52,תוספתן 06 ()LAP,B4
42,קיבה 05 ()LAP,2
42,קיבה 05 ()LAP,2
186,מעי גס 041 ()LAP,49
16,פרוקטו רקטום+פי הטבעת 04,E5
121,כף יד,3
121,גפה עליונה 06(ילדים),3
121,כף יד,3
66,BCC,14
42,קיבה 05 ()LAP,2
120,גפה תחתונה 06(מבוגרים),30
124,בלוטות לימפה 07,73
26,הרניה 07 ()LAP,36
292,גפה תחתונה 06(מבוגרים),30
292,גפה תחתונה 06(מבוגרים),30
20,כיס מרה 08 ()LAP,A0
222,מעי דק 08,56
222,מעי דק 011,60
120,גפה תחתונה 06(מבוגרים),30
20,כיס מרה 08 ()LAP,A0
42,קיבה 05 ()LAP,2
213,גפיים 03(מבוגרים),35
50,הרניה 001 ()LAP,40
66,אחר 51,C3
10,החלפת מפרקים 081(מבוגרים),42
327,שד 06,64
7,פרוקטו רקטום+פי הטבעת 03,E4
26,הרניה 06,33
0,גפה עליונה 06(ילדים),3
32,הרניה 06,33
214,שונות 54(מבוגרים),54
120,גפה תחתונה 021(ילדים),11
180,גפיים 09(מבוגרים),38
199,גפה תחתונה 54(מבוגרים),29
20,כיס מרה 08 ()LAP,A0
120,גפה תחתונה 06(מבוגרים),30
161,בטן 06,B7
181,גפה תחתונה 06(מבוגרים),30
16,פרוקטו רקטום+פי הטבעת 04,E5
76,פרוקטו רקטום+פי הטבעת 04,E5
180,שונות 021(ילדים),21
181,גפה תחתונה 081(מבוגרים),33
180,גפה תחתונה 03(ילדים),7
214,שונות 03(מבוגרים),53
206,גפה תחתונה 021(ילדים),11
161,בטן 06 ()LAP,B8
120,גפה תחתונה 09(מבוגרים),31
121,שונות 06(ילדים),19
106,שופכן 09,6
214,הסרת נגע,11
50,הרניה 001 ()LAP,40
20,כיס מרה 08 ()LAP,A0
120,גפה תחתונה 09(מבוגרים),31
20,כיס מרה 08 ()LAP,A0
46,"עמ""ש 024(מבוגרים)",51
83,גפה תחתונה 021(מבוגרים),32
213,שונות 03(מבוגרים),53
213,שונות 54(מבוגרים),54
184,גפה תחתונה 081(ילדים),12
184,גפה תחתונה 09(מבוגרים),31
292,גפה תחתונה 06(מבוגרים),30
180,שונות 06(ילדים),19
42,קיבה 05 ()LAP,2
66,אחר 51,C3
121,גפה עליונה 06(ילדים),3
292,גפה תחתונה 06(מבוגרים),30
292,גפה תחתונה 06(מבוגרים),30
66,אחר 51,C3
293,גפה תחתונה 06(מבוגרים),30
199,עמוד שידרה 051,2
20,כיס מרה 08 ()LAP,A0
214,שונות 54(מבוגרים),54
42,קיבה 05 ()LAP,2
50,הרניה 05,32
7,פרוקטו רקטום+פי הטבעת 03,E4
66,הסרת נגע,11
26,הרניה 06,33
50,הרניה 001 ()LAP,40
76,פרוקטו רקטום+פי הטבעת 04,E5
32,הרניה 06,33
121,גפה עליונה 06(ילדים),3
181,גפה תחתונה 081(מבוגרים),33
327,שד 06,64
42,קיבה 061,28
20,כיס מרה 08 ()LAP,A0
66,אחר 51,C3
293,שונות 09(ילדים),20
214,שונות 54(מבוגרים),54
42,קיבה 05 ()LAP,2
121,גפה עליונה 06(ילדים),3
65,ניתוחים קיסריים,1
20,כיס מרה 08 ()LAP,A0
32,הרניה 06,33
208,שונות 03(מבוגרים),53
20,כיס מרה 08 ()LAP,A0
16,פרוקטו רקטום+פי הטבעת 04,E5
42,קיבה 08 ()LAP,5
120,גפה תחתונה 09(מבוגרים),31
42,קיבה 08 ()LAP,5
245,ניתוח פה ולסת,1
245,ניתוח פה ולסת,1
20,כיס מרה 08 ()LAP,A0
121,כף יד,3
180,גפה עליונה 06(ילדים),3
76,פרוקטו רקטום+פי הטבעת 03,E4
20,כיס מרה 08 ()LAP,A0
50,הרניה 07,35
288,גפה עליונה 09(מבוגרים),26
170,ווגינה ורצפת אגן,6
7,פרוקטו רקטום+פי הטבעת 03,E4
50,הרניה 08 ()LAP,38
20,כיס מרה 08 ()LAP,A0
326,שד 001,68
32,הרניה 06,33
149,הרניה 051 ()LAP,41
10,החלפת מפרקים 081(מבוגרים),42
50,הרניה 001 ()LAP,40
30,"עמ""ש 003(מבוגרים)",49
66,BCC,14
20,כיס מרה 08 ()LAP,A0
120,גפה תחתונה 09(מבוגרים),31
10,החלפת מפרקים 081(מבוגרים),42
288,גפה עליונה 09(מבוגרים),26
228,שחלה,4
20,כיס מרה 08 ()LAP,A0
20,כיס מרה 08 ()LAP,A0
42,קיבה 05 ()LAP,2
46,גפה תחתונה 09(ילדים),10
20,כיס מרה 08 ()LAP,A0
121,גפה עליונה 03(מבוגרים),23
42,קיבה 08 ()LAP,5
20,כיס מרה 08 ()LAP,A0
50,הרניה 001 ()LAP,40
76,פרוקטו רקטום+פי הטבעת 04,E5
20,כיס מרה 08 ()LAP,A0
42,קיבה 061,28
42,קיבה 08 ()LAP,5
26,הרניה 06,33
46,"עמ""ש 024(מבוגרים)",51
66,אחר 51,C3
50,הרניה 08 ()LAP,38
23,קיבה 07 ()LAP,3
120,גפה תחתונה 03(מבוגרים),28
72,שופכן 54,5
66,אחר 51,C3
186,מעי גס 041 ()LAP,49
327,שד 06,64
120,גפה תחתונה 06(מבוגרים),30
20,כיס מרה 08 ()LAP,A0
214,שונות 54(מבוגרים),54
87,ניתוח חזה,9
10,החלפת מפרקים 081(מבוגרים),42
158,מעי גס 051,50
23,קיבה 061,28
327,שד 06,64
42,קיבה 05 ()LAP,2
32,הרניה 06,33
50,הרניה 001 ()LAP,40
39,קטרקט א.יום,40
53,כבד 022,A6
158,מעי גס 051,50
49,מעי דק 011,60
66,אחר 51,C3
268,ניתוח מעקפים,2
26,הרניה 06,33
26,הרניה 06,33
293,גפיים 09(מבוגרים),38
26,הרניה 06,33
66,אחר 51,C3
49,מעי גס 051 ()LAP,51
42,קיבה 061,28
387,כף יד,3
6,קרנית ח.פעולות,44
20,כיס מרה 08 ()LAP,A0
20,כיס מרה 08 ()LAP,A0
65,ניתוחים קיסריים,1
32,הרניה 06,33
131,וולווה ופרינאום,7
26,הרניה 06,33
7,פרוקטו רקטום+פי הטבעת 03,E4
66,אחר 51,C3
46,שונות 021(ילדים),21
32,הרניה 06,33
26,הרניה 06,33
102,אנדוקרינים 011 ()LAP,97
39,קטרקט א.יום,40
158,מעי גס 012,54
121,גפה עליונה 06(ילדים),3
76,פרוקטו רקטום+פי הטבעת 04,E5
42,קיבה 08 ()LAP,5
20,כיס מרה 08 ()LAP,A0
26,הרניה 06,33
49,מעי דק 011,60
50,הרניה 001 ()LAP,40
297,"עמ""ש 003(מבוגרים)",49
292,גפה תחתונה 06(מבוגרים),30
20,כיס מרה 08 ()LAP,A0
124,בלוטות לימפה 07,73
20,כיס מרה 08 ()LAP,A0
20,כיס מרה 08 ()LAP,A0
49,מעי דק 011,60
292,גפה תחתונה 06(מבוגרים),30
16,פרוקטו רקטום+פי הטבעת 04,E5
39,קטרקט א.יום,35
20,כיס מרה 08 ()LAP,A0
20,כיס מרה 08 ()LAP,A0
49,מעי דק 011,60
46,"עמ""ש 024(מבוגרים)",51
120,גפה תחתונה 06(מבוגרים),30
186,מעי גס 041 ()LAP,49
20,כיס מרה 08 ()LAP,A0
100,בטן 07,B9
121,כף יד,3
120,גפה תחתונה 03(מבוגרים),28
39,קטרקט א.יום,35
186,מעי גס 041 ()LAP,49
121,שונות 03(מבוגרים),53
20,כיס מרה 08 ()LAP,A0
26,הרניה 06,33
158,מעי גס 051,50
50,הרניה 001 ()LAP,40
32,הרניה 06,33
20,כיס מרה 08 ()LAP,A0
46,"עמ""ש 024(מבוגרים)",51
186,מעי גס 061 ()LAP,52
32,הרניה 06,33
26,הרניה 06,33
76,רקטום ופי הטבעת 03,86
26,הרניה 06,33
120,גפה תחתונה 06(מבוגרים),30
372,החלפת מפרקים 081(מבוגרים),42
26,הרניה 06,33
214,שונות 54(מבוגרים),54
76,פרוקטו רקטום+פי הטבעת 04,E5
107,כליה 092 LAP,4
66,אחר 51,C3
7,פרוקטו רקטום+פי הטבעת 03,E4
42,קיבה 061,28
16,פרוקטו רקטום+פי הטבעת 04,E5
121,גפה עליונה 06(ילדים),3
20,כיס מרה 08 ()LAP,A0
181,גפה תחתונה 081(מבוגרים),33
83,גפה תחתונה 021(ילדים),11
46,"עמ""ש 003(מבוגרים)",49
20,כיס מרה 08 ()LAP,A0
199,גפה תחתונה 54(מבוגרים),29
121,גפה עליונה 06(ילדים),3
10,החלפת מפרקים 081(מבוגרים),42
158,מעי גס 051,50
23,קיבה 061,28
20,כיס מרה 08 ()LAP,A0
66,הסרת נגע,11
124,בלוטות לימפה 07,73
16,פרוקטו רקטום+פי הטבעת 04,E5
187,גפה עליונה 09(מבוגרים),26
50,הרניה 07,35
42,קיבה 05 ()LAP,2
50,הרניה 001 ()LAP,40
42,קיבה 05 ()LAP,2
20,כיס מרה 08 ()LAP,A0
141,אחר 011,D5
100,בטן 07,B9
23,קיבה 061,28
20,כיס מרה 08 ()LAP,A0
158,מעי גס 051,50
20,כיס מרה 08 ()LAP,A0
186,מעי גס 041 ()LAP,49
121,שונות 54(מבוגרים),54
253,גפה תחתונה 09(מבוגרים),31
181,גפה תחתונה 06(מבוגרים),30
181,גפה תחתונה 06(מבוגרים),30
180,שונות 09(ילדים),20
387,שונות 03(ילדים),17
66,אחר 51,C3
7,פרוקטו רקטום+פי הטבעת 03,E4
292,גפה תחתונה 06(מבוגרים),30
120,שונות 06(ילדים),19
250,גפה תחתונה 021(ילדים),11
53,כבד 022,A6
180,שונות 09(ילדים),20
180,שונות 09(ילדים),20
184,גפה תחתונה 09(ילדים),10
208,כף יד,3
398,גפה עליונה 081(ילדים),6
180,שונות 06(ילדים),19
120,גפה תחתונה 03(מבוגרים),28
144,לבלב 083,92
180,שונות 09(ילדים),20
180,שונות 09(ילדים),20
180,גפה תחתונה 03(ילדים),7
369,רשתית ומקטע אחורי 021-מחלקה,25
184,גפה תחתונה 09(מבוגרים),31
184,גפה תחתונה 09(מבוגרים),31
209,אחר,4
26,הרניה 07 ()LAP,36
26,הרניה 06,33
49,מעי דק 011,60
292,גפה תחתונה 06(מבוגרים),30
181,גפה תחתונה 06(מבוגרים),30
102,כיס מרה 08 ()LAP,A0
184,גפה תחתונה 03(מבוגרים),28
180,גפה תחתונה 03(מבוגרים),28
184,גפה תחתונה 09(ילדים),10
120,גפה תחתונה 09(ילדים),10
180,גפה תחתונה 09(ילדים),10
184,שונות 09(ילדים),20
369,שונות 03(מבוגרים),53
184,גפה תחתונה 06(מבוגרים),30
250,גפה תחתונה 09(ילדים),10
207,גפה תחתונה 081(ילדים),12
26,הרניה 0,49
387,אגן 081(ילדים),16
214,שונות 03(מבוגרים),53
250,שונות 06(ילדים),19
250,שונות 06(ילדים),19
260,שונות 06(ילדים),19
43,מוח וגולגולת 051,1
121,גפה עליונה 02(מבוגרים),22
20,כיס מרה 08 ()LAP,A0
260,גפיים 04(מבוגרים),36
260,שונות 06(ילדים),19
120,גפה תחתונה 03(ילדים),7
100,בטן 07,B9
26,הרניה 06,33
186,מעי גס 041 ()LAP,49
120,גפה תחתונה 03(ילדים),7
184,גפה תחתונה 03(ילדים),7
120,גפה תחתונה 03(ילדים),7
120,גפה תחתונה 03(ילדים),7
260,גפיים 04(מבוגרים),36
120,גפה תחתונה 03(ילדים),7
120,גפה תחתונה 03(ילדים),7
260,שונות 06(ילדים),19
120,גפה תחתונה 03(ילדים),7
120,גפה תחתונה 54(ילדים),8
184,גפה תחתונה 03(ילדים),7
8,רחם ובטן,8
42,קיבה 05 ()LAP,2
20,כיס מרה 08 ()LAP,A0
292,גפה תחתונה 06(מבוגרים),30
39,קטרקט א.יום,40
46,"עמ""ש 024(מבוגרים)",51
292,גפה תחתונה 06(מבוגרים),30
42,קיבה 05 ()LAP,2
121,גפה עליונה 06(ילדים),3
161,אחר 03,C2
209,אחר,4
83,גפה תחתונה 021(ילדים),11
46,"עמ""ש 003(מבוגרים)",49
120,גפה תחתונה 03(ילדים),7
120,גפה תחתונה 03(ילדים),7
120,גפה תחתונה 03(ילדים),7
120,שונות 54(ילדים),18
26,הרניה 06,33
132,צוואר הרחם,2
42,קיבה 05 ()LAP,2
16,פרוקטו רקטום+פי הטבעת 04,E5
52,תוספתן 06 ()LAP,B4
222,בטן 05,B5
186,מעי גס 041 ()LAP,49
292,גפה תחתונה 06(מבוגרים),30
199,"עמ""ש 024(מבוגרים)",51
219,רשתית ומקטע אחורי 021-מחלקה,25
219,רשתית ומקטע אחורי 021-מחלקה,25
20,כיס מרה 08 ()LAP,A0
39,קטרקט כללית באשפוז,34
176,אחר,11
16,פרוקטו רקטום+פי הטבעת 04,E5
42,קיבה 05 ()LAP,2
50,הרניה 001 ()LAP,40
20,כיס מרה 08 ()LAP,A0
327,שד 06,64
42,קיבה 05 ()LAP,2
42,קיבה 05 ()LAP,2
26,הרניה 06,33
20,כיס מרה 08 ()LAP,A0
79,גרידות,9
32,הרניה 06,33
76,פרוקטו רקטום+פי הטבעת 04,E5
20,כיס מרה 08 ()LAP,A0
42,קיבה 05 ()LAP,2
20,כיס מרה 08 ()LAP,A0
20,כיס מרה 08 ()LAP,A0
39,קטרקט א.יום,35
121,כף יד,3
121,גפה עליונה 06(ילדים),3
50,הרניה 001 ()LAP,40
20,כיס מרה 08 ()LAP,A0
19,צוואר 021,29
120,גפה תחתונה 06(מבוגרים),30
20,כיס מרה 08 ()LAP,A0
50,הרניה 001 ()LAP,40
20,כיס מרה 08 ()LAP,A0
76,פרוקטו רקטום+פי הטבעת 04,E5
199,גפה תחתונה 54(מבוגרים),29
42,קיבה 05 ()LAP,2
186,מעי גס 061 ()LAP,52
26,הרניה 07 ()LAP,36
10,החלפת מפרקים 081(מבוגרים),42
26,הרניה 06,33
76,פרוקטו רקטום+פי הטבעת 04,E5
66,אחר 51,C3
20,כיס מרה 08 ()LAP,A0
39,קטרקט א.יום,40
26,הרניה 07 ()LAP,36
49,מעי דק 011,60
66,BCC,14
66,BCC,14
187,גפה עליונה 09(מבוגרים),26
121,גפה עליונה 06(ילדים),3
292,גפה תחתונה 06(מבוגרים),30
121,גפה עליונה 06(ילדים),3
186,מעי דק 011 ()LAP,61
186,מעי גס 041 ()LAP,49
66,הסרת נגע,11
121,גפה עליונה 02(מבוגרים),22
187,גפה תחתונה 06(מבוגרים),30
120,גפה תחתונה 09(מבוגרים),31
97,אנדוסקופיים 06,40
42,קיבה 05 ()LAP,2
20,כיס מרה 08 ()LAP,A0
101,אחר 08,C6
66,שונות 03(מבוגרים),53
42,קיבה 05 ()LAP,2
42,קיבה 05 ()LAP,2
76,פרוקטו רקטום+פי הטבעת 04,E5
187,גפה עליונה 09(מבוגרים),26
121,כף יד,3
16,פרוקטו רקטום+פי הטבעת 04,E5
46,"עמ""ש 024(מבוגרים)",51
26,הרניה 06,33
32,הרניה 06,33
42,קיבה 05 ()LAP,2
42,קיבה 08 ()LAP,5
187,גפה עליונה 09(מבוגרים),26
42,קיבה 061,28
66,אחר 51,C3
76,פרוקטו רקטום+פי הטבעת 03,E4
20,כיס מרה 08 ()LAP,A0
5,כיס השתן 07,11
158,מעי גס 051,50
52,תוספתן 06 ()LAP,B4
42,קיבה 05 ()LAP,2
66,אחר 51,C3
120,גפה תחתונה 09(מבוגרים),31
32,הרניה 06,33
327,שד 06,64
20,כיס מרה 08 ()LAP,A0
39,עדשה 07-מחלקה,20
32,הרניה 06,33
76,פרוקטו רקטום+פי הטבעת 03,E4
222,מעי דק 09,57
297,"עמ""ש 003(מבוגרים)",49
42,קיבה 05 ()LAP,2
20,כיס מרה 08 ()LAP,A0
66,אחר 51,C3
26,הרניה 06,33
26,הרניה 07 ()LAP,36
26,הרניה 06,33
124,בלוטות לימפה 07,73
46,"עמ""ש 003(מבוגרים)",49
199,גפה תחתונה 09(מבוגרים),31
184,גפה תחתונה 042(ילדים),13
184,גפה תחתונה 081(ילדים),12
76,פרוקטו רקטום+פי הטבעת 04,E5
76,פרוקטו רקטום+פי הטבעת 04,E5
66,אחר 51,C3
302,"עמ""ש 024(מבוגרים)",51
184,גפה תחתונה 03(ילדים),7
207,גפה תחתונה 081(ילדים),12
184,גפה תחתונה 09(מבוגרים),31
181,שונות 06(ילדים),19
204,שונות 09(ילדים),20
42,קיבה 05 ()LAP,2
324,שד,9
121,שונות 03(מבוגרים),53
121,גפה עליונה 54(מבוגרים),24
207,גפה תחתונה 081(ילדים),12
42,קיבה 05 ()LAP,2
372,גפיים 03(מבוגרים),35
121,גפה עליונה 54(מבוגרים),24
214,שונות 03(מבוגרים),53
120,גפה תחתונה 09(מבוגרים),31
199,גפה עליונה 09(ילדים),4
2,אחרים 0,71
16,פרוקטו רקטום+פי הטבעת 04,E5
32,הרניה 06,33
26,הרניה 07 ()LAP,36
292,גפה תחתונה 06(מבוגרים),30
121,גפה עליונה 06(ילדים),3
8,רחם ובטן,8
20,כיס מרה 08 ()LAP,A0
20,כיס מרה 08 ()LAP,A0
16,פרוקטו רקטום+פי הטבעת 04,E5
10,החלפת מפרקים 081(מבוגרים),42
20,כיס מרה 08 ()LAP,A0
20,כיס מרה 08 ()LAP,A0
184,גפה תחתונה 03(ילדים),7
184,גפה תחתונה 09(מבוגרים),31
83,גפה תחתונה 03(ילדים),7
212,כוויות,5
184,גפה תחתונה 09(ילדים),10
86,בטן 09,13
20,כיס מרה 08 ()LAP,A0
120,גפה תחתונה 09(ילדים),10
32,הרניה 06,33
66,הסרת נגע,11
120,גפה תחתונה 09(ילדים),10
26,הרניה 07 ()LAP,36
32,הרניה 06,33
120,גפה תחתונה 03(ילדים),7
199,גפה תחתונה 54(מבוגרים),29
180,שונות 09(ילדים),20
387,שונות 06(ילדים),19
50,הרניה 001 ()LAP,40
125,צוואר 002,32
187,גפה עליונה 09(מבוגרים),26
173,חצוצרה,3
39,קטרקט א.יום,40
60,עפעפיים א.יום,1
121,גפה עליונה 06(ילדים),3
6,קרנית ח.פעולות,44
120,גפה תחתונה 03(מבוגרים),28
0,כף יד,3
184,גפה תחתונה 042(ילדים),13
250,גפה תחתונה 081(ילדים),12
180,שונות 09(ילדים),20
260,שונות 06(ילדים),19
250,גפה תחתונה 021(מבוגרים),32
387,שונות 54(ילדים),18
250,גפיים 04(מבוגרים),36
121,כף יד,3
302,"עמ""ש 024(מבוגרים)",51
144,לבלב 083,92
215,מעי גס 081,53
7,פרוקטו רקטום+פי הטבעת 03,E4
53,כבד 022,A6
292,גפה תחתונה 06(מבוגרים),30
66,אחר 51,C3
327,שד 06,64
42,קיבה 05 ()LAP,2
39,קטרקט א.יום,35
46,"עמ""ש 003(מבוגרים)",49
23,קיבה 061,28
20,כיס מרה 08 ()LAP,A0
21,שופכה 0,60
39,קטרקט א.יום,40
219,רשתית ומקטע אחורי 021-מחלקה,25
39,קטרקט א.יום,40
303,"עמ""ש 024(מבוגרים)",51
39,קטרקט א.יום,40
39,קטרקט א.יום,40
39,קטרקט א.יום,35
39,קטרקט א.יום,40
7,פרוקטו רקטום+פי הטבעת 03,E4
13,החלפת מפרקים 021(מבוגרים),40
26,הרניה 06,33
39,קטרקט כללית באשפוז,34
219,רשתית ומקטע אחורי 021-מחלקה,25
20,כיס מרה 08 ()LAP,A0
39,קטרקט א.יום,35
76,פרוקטו רקטום+פי הטבעת 04,E5
186,מעי גס 041 ()LAP,49
42,קיבה 05 ()LAP,2
49,מעי דק 011,60
50,בטן 06 ()LAP,B8
76,פרוקטו רקטום+פי הטבעת 03,E4
199,גפה תחתונה 09(מבוגרים),31
20,כיס מרה 08 ()LAP,A0
50,הרניה 001 ()LAP,40
42,קיבה 05 ()LAP,2
121,גפה עליונה 06(ילדים),3
66,אחר 51,C3
65,ניתוחים קיסריים,1
32,הרניה 06,33
327,שד 06,64
20,כיס מרה 08 ()LAP,A0
42,קיבה 05 ()LAP,2
327,שד 06,64
76,פרוקטו רקטום+פי הטבעת 04,E5
26,הרניה 06,33
76,פרוקטו רקטום+פי הטבעת 04,E5
121,גפה עליונה 06(ילדים),3
181,גפה תחתונה 081(מבוגרים),33
20,כיס מרה 08 ()LAP,A0
326,שד,9
45,שד,9
20,כיס מרה 08 ()LAP,A0
327,שד 06,64
181,גפה תחתונה 081(מבוגרים),33
42,קיבה 05 ()LAP,2
66,אחר 51,C3
76,פרוקטו רקטום+פי הטבעת 04,E5
113,מחיצת האף וקונכיות 021,8
120,גפה תחתונה 09(מבוגרים),31
20,כיס מרה 08 ()LAP,A0
199,גפה תחתונה 54(מבוגרים),29
99999,קיבה 05 ()LAP,2
387,שונות 03(מבוגרים),53
42,קיבה 05 ()LAP,2
65,ניתוחים קיסריים,1
20,כיס מרה 08 ()LAP,A0
184,גפה עליונה 54(מבוגרים),24
26,הרניה 07 ()LAP,36
327,שד 06,64
83,גפה תחתונה 021(מבוגרים),32
120,גפה תחתונה 09(מבוגרים),31
42,קיבה 061,28
42,קיבה 05 ()LAP,2
20,כיס מרה 08 ()LAP,A0
26,הרניה 07 ()LAP,36
76,פרוקטו רקטום+פי הטבעת 03,E4
121,גפה עליונה 06(ילדים),3
42,קיבה 05 ()LAP,2
26,הרניה 06,33
120,גפה תחתונה 09(מבוגרים),31
5,כיס השתן 07,11
16,פרוקטו רקטום+פי הטבעת 04,E5
50,הרניה 001 ()LAP,40
39,קטרקט א.יום,40
255,SCC,13
49,מעי דק 011,60
42,קיבה 05 ()LAP,2
20,כיס מרה 08 ()LAP,A0
42,קיבה 05 ()LAP,2
42,קיבה 061,28
